ATTACK_ID,DATE,LOCATION ,DESCRIPTION,DATA_SOURCES,TOTAL_DEATHS,TOTAL_CASUALITIES,CHILD_DEATHS,CHILD_CASUALTIES,TYPE,AFFILIATION,AFFLIATION_CLAIMED?,PART_OF,OFFICIAL_OR_INSPIRED,MUSLIM_MAJORITY_NATION,FORCED_TO_FLEE,ECONOMIC_COST,ORGANIZED_OR_REACTIVE,WEAPON_USED,MODUS_OPERANDI,SURVEILLED,PRIOR SUSPICION,ACTED_ALONE_OR_IN_GROUP
20101006PAK,2010-10-6,Pakistan,Double suicide bombing at Abdullah Shah Ghazi Shrine. Part of a militant anti Sufi campaign[50],"http://www.bbc.com/news/world-south-asia-11495500
http://www.nbcnews.com/id/39555858/ns/world_news-south_and_central_asia/t/deadly-blasts-hit-famed-sufi-shrine-pakistan/",9+[50],55[50],,,Suicide Bombing,,,,,TRUE,,,,Bomb,Suicide Bombing,,,GROUP
20100825IRA,2010-08-25,Iraq,25 August 2010 Iraq bombings,"https://en.wikipedia.org/wiki/25_August_2010_Iraq_bombings
http://www.aljazeera.com/news/middleeast/2010/08/2010825103740970619.html
http://www.bbc.com/news/world-middle-east-11081603",53+,270+,,,"Suicide bombing, car bombing",,,,,TRUE,,,,"IED, Bombs",String of bombing attacks targeting checkpoints,,,GROUP
20100817IRA,2010-08-17,Iraq,17 August 2010 Baghdad bombings.,"https://en.wikipedia.org/wiki/17_August_2010_Baghdad_bombings
http://www.aljazeera.com/news/middleeast/2010/08/20108204250505178.html",69+,169,,,"Suicide Bombing, car bombing",Al-Qaeda,TRUE,,,TRUE,,,,"Vehicle, Bombs, Explosives","Suicide Bombing, Fuel truck explosion",,,GROUP
20100715IRN,2010-07-15,Iran,"2010 Zahedan bombings were two suicide bombings, that targeted Shia worshippers in Iran, including members of the Revolutionary Guards.","https://en.wikipedia.org/wiki/2010_Zahedan_bombings
http://www.bbc.com/news/world-middle-east-10655900",27+,270+,,,Suicide Bombings,,,,,TRUE,,,,Bomb,Suicide bombing,,,GROUP
20100715UGA,2010-07-11,Uganda,July 2010 Kampala attacks were suicide bombings carried out against crowds watching a screening of the 2010 FIFA World Cup Finalmatch.,"https://en.wikipedia.org/wiki/July_2010_Kampala_attacks
http://www.nytimes.com/2010/07/12/world/africa/12uganda.html",74,70,,,Suicide Bombings,,,,,FALSE,,,,Bomb,Suicide Bombing,,,GROUP
20100701PAK,2010-07-1,Pakistan,"July 2010 Lahore bombings, anti Sufi attack, part of “a growing trend among militants to target members of other sects"".[49]","http://www.bbc.com/news/10483453
https://en.wikipedia.org/wiki/July_2010_Lahore_bombings",42+,175+,,,Suicide Bombings,,,,,TRUE,,,,Bomb,Suicide Bombing,,,GROUP
20100701PAK,2010-05-28,Pakistan,"Attacks on Ahmadi Mosques Lahore, Pakistan. Tehrik-i-Taliban Pakistan claimed attacks on two mosques belonging to the Ahmadiyya Muslim Community",http://www.bbc.com/news/10190389,86[48],Many[48],,,Shooting,,,,,TRUE,,,,"Firearms, Grenade","Shooting, grenades thrown at worshippers",,,GROUP
20100510IRA,2010-05-10,Iraq,The 10 May 2010 Iraq attacks were a series of bomb and shooting attacks that occurred in Iraq.,"https://en.wikipedia.org/wiki/10_May_2010_Iraq_attacks
http://news.bbc.co.uk/2/hi/middle_east/8671823.stm",100+,350+,,,"coordinated bomb detonations, suicide car bombings, targeted killings, shootings",,,,,TRUE,,,,"Bombs, Firearms, Car bombs",Series of bombings and shootings,,,GROUP
20100329RUS,2010-03-29,Russia,Moscow Metro bombings. Caucasus Emirate claimed responsibility[47],"http://www.aljazeera.com/news/europe/2010/03/2010331171748201274.html
http://news.bbc.co.uk/2/hi/europe/8592190.stm
http://www.cnn.com/2010/WORLD/europe/03/31/russian.bombing.chechen/",40,102,,,Suicide Bombing,Doku Umarov,TRUE,,,FALSE,,,,Bomb,Suicide Bombing,TRUE,,GROUP
20100303IRA,2010-03-3,Iraq,The 2010 Baqubah bombings were a series of three bombings that killed at least 33 people and injured 55 others.,"https://en.wikipedia.org/wiki/2010_Baqubah_bombings
http://www.aljazeera.com/news/middleeast/2010/03/201033961873832.html",33,55,,,"Coordinated Bombing, Suicide Bombing",,,,,TRUE,,,,"Bomb, Car Bomb",Series of three bombings suicide and vehicular,,,GROUP
